Experiment,Subject,Task,Instrument,Treatment,Session,PERTUS,QLTY,PROD
EC,HERHL05,BSK,AH,ITLD,1,0,0,0
EC,HERHL06,BSK,AH,ITLD,1,0.31,95,28.57
EC,HERHL07,BSK,AH,TDD,2,1,84.23,85.71
EC,HERHL08,BSK,AH,TDD,2,1,97.44,98.21
EC,HERHL09,BSK,AH,ITLD,1,0.31,100,32.14
EC,HERHL10,BSK,AH,TDD,2,0,0,0
EC,HERHL11,BSK,AH,ITLD,1,0.08,100,5.36
EC,HERHL12,BSK,AH,TDD,2,0.85,81.36,76.79
EC,HERHL13,BSK,AH,TDD,2,0.77,86.25,73.21
EC,HERHL14,BSK,AH,TDD,2,0.69,83.7,50
EC,HERHL15,BSK,AH,TDD,2,0.69,83.7,50
EC,HERHL16,BSK,AH,ITLD,1,0,0,0
EC,HERHL18,BSK,AH,ITLD,1,1,93.59,96.43
EC,HERHL19,BSK,AH,ITLD,1,0.31,86.67,26.79
EC,HERHL20,BSK,AH,TDD,2,0.85,81.36,76.79
EC,HERHL21,BSK,AH,ITLD,1,0,0,0
